street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
13960 Saddle Ridge Rd,91342,Sylmar,SingleFamily,2018,296048.0,1984,6686,1649,2.0,3,613459,Sylmar,neighborhood
23826 Hamlin St,91307,West Hills,SingleFamily,2018,754154.0,1961,8712,2158,3.5,4,776782,West Hills,neighborhood
8912 Towne Ave,90003,Los Angeles,SingleFamily,2018,206163.0,1940,4409,843,1.0,2,370362,Southeast Los Angeles,neighborhood
12833 Landale St,91604,Studio City,SingleFamily,2018,394062.0,1936,11797,3237,4.0,3,1932327,Studio City,neighborhood
4918 Forman Ave,91601,North Hollywood,SingleFamily,2018,351552.0,NA,7980,NA,NA,NA,1135789,Toluca Lake,neighborhood
200 S New Hampshire Ave,90004,Los Angeles,SingleFamily,2018,965587.0,1924,9000,500,1.0,0,1004608,Koreatown,neighborhood
5420 Monroe St,90038,Los Angeles,Duplex,2018,222117.0,1922,6719,1732,2.0,2,1211185,Hollywood,neighborhood
3787 S Harvard Blvd,90018,Los Angeles,MultiFamily2To4,2018,374544.0,1911,4965,26,1.0,3,680960,South Los Angeles,neighborhood
5226 Coringa Dr,90042,Los Angeles,SingleFamily,2018,347707.0,1915,5008,1790,2.0,4,923168,Highland Park,neighborhood
832 S Wooster St,90035,Los Angeles,Condominium,2018,757465.0,1929,5775,1950,1.75,3,1692390,Pico-Robertson,neighborhood
13756 Chase St,91331,Arleta,SingleFamily,2018,383657.0,1951,6002,1548,2.0,3,549203,Arleta,neighborhood
5362 Navarro St,90032,Los Angeles,SingleFamily,2018,50479.0,1928,6128,1302,1.0,3,648926,El Sereno,neighborhood
4834 Petit Ave,91436,Encino,SingleFamily,2018,1238971.0,1949,9742,3971,4.0,5,1901299,Encino,neighborhood
869 W 92nd St,90044,Los Angeles,SingleFamily,2018,188057.0,1949,9812,1200,1.0,3,419359,South Los Angeles,neighborhood
2117 Veteran Ave,90025,Los Angeles,SingleFamily,2018,1634061.0,1928,6750,1943,2.0,3,1962393,West Los Angeles,neighborhood
1531 N Sierra Bonita Ave,90046,Los Angeles,SingleFamily,2018,1182278.0,1914,6750,1805,2.0,3,2239571,Hollywood,neighborhood
11584 Killimore Ave,91326,Porter Ranch,SingleFamily,2018,647700.0,1972,7750,1429,2.0,3,689092,Porter Ranch,neighborhood
7840 Jayseel St,91040,Sunland,SingleFamily,2018,120142.0,1950,5590,1000,1.0,2,524964,Sunland,neighborhood
251 N Bowling Green Way,90049,Los Angeles,SingleFamily,2018,1599903.0,2005,8250,5089,5.0,4,5083324,Brentwood,neighborhood
728 E 82nd St,90001,Los Angeles,Triplex,2018,355121.0,1931,5100,1807,3.0,5,536919,Southeast Los Angeles,neighborhood
832 W 76th St,90044,Los Angeles,Duplex,2018,105288.0,1921,5400,1108,1.0,2,460500,South Los Angeles,neighborhood
9649 Calvin Ave,91324,Northridge,SingleFamily,2018,735643.0,1962,17424,3276,3.0,4,983056,Northridge,neighborhood
1326 W 83rd Pl,90044,Los Angeles,Townhouse,2018,350000.0,1904,5309,1700,3.0,5,611364,South Los Angeles,neighborhood
17455 Hatteras St,91316,Encino,SingleFamily,2018,612604.0,1949,6740,1724,2.0,3,800394,Encino,neighborhood
17123 Tribune St,91344,Granada Hills,SingleFamily,2018,337630.0,1953,7474,1215,2.0,3,590838,Granada Hills,neighborhood
7019 Keokuk Ave,91306,Winnetka,SingleFamily,2018,407430.0,1953,7499,1540,2.0,3,595240,Winnetka,neighborhood
1971 N New Hampshire Ave,90027,Los Angeles,SingleFamily,2018,324181.0,1924,6501,1821,1.0,3,1283167,Los Feliz,neighborhood
18566 Ingomar St,91335,Reseda,SingleFamily,2018,476704.0,1983,8276,1856,2.0,4,621409,Reseda,neighborhood
8800 Haas Ave,90047,Los Angeles,SingleFamily,2018,374543.0,1948,4807,1196,1.0,3,509073,South Los Angeles,neighborhood
2217 S Burnside Ave,90016,Los Angeles,Duplex,2018,227324.0,1950,5806,1498,2.0,4,815262,Mid City,neighborhood
7911 Berger Ave,90293,Playa Del Rey,SingleFamily,2018,1334914.0,1990,5049,5000,4.5,3,2777022,Playa Del Rey,neighborhood
1431 S Bedford St APT 2,90035,Los Angeles,Condominium,2018,745000.0,1985,6499,1401,3.0,3,848383,Pico-Robertson,neighborhood
8278 Marmay Pl,91352,Sun Valley,SingleFamily,2018,163430.0,1946,5093,846,1.0,2,497500,Sun Valley,neighborhood
1540 W 59th St,90047,Los Angeles,SingleFamily,2018,279304.0,1923,3360,854,2.0,3,423611,South Los Angeles,neighborhood
330 S Rampart Blvd APT 109,90057,Los Angeles,Apartment,NA,NA,NA,NA,900,1.0,1,902270,Rampart Village,neighborhood
3558 Sabina St,90023,Los Angeles,SingleFamily,2018,270134.0,1919,8998,1856,1.0,3,538813,Boyle Heights,neighborhood
10535 Gaviota Ave,91344,Granada Hills,SingleFamily,2018,496753.0,1957,7832,1936,2.0,3,662692,Granada Hills,neighborhood
146 S Arden Blvd,90004,Los Angeles,SingleFamily,2018,91957.0,1921,7022,1631,2.0,3,1775863,Mid Wilshire,neighborhood
15600 Rinaldi St,91344,Granada Hills,SingleFamily,2018,588000.0,1959,7196,1430,2.0,4,597828,Granada Hills,neighborhood
3527 Kelton Ave,90034,Los Angeles,SingleFamily,2018,846841.0,1940,6194,1626,2.0,3,1352058,Palms,neighborhood
17301 Mayerling St,91344,Granada Hills,SingleFamily,2018,664733.0,1964,12893,2208,3.0,4,799505,Granada Hills,neighborhood
634 W Vernon Ave,90037,Los Angeles,Quadruplex,2018,510836.0,1910,7243,2470,4.0,8,678771,South Los Angeles,neighborhood
7807 Shoup Ave,91304,Canoga Park,SingleFamily,2018,456832.0,1959,7349,1570,2.0,3,612385,West Hills,neighborhood
3831 Diamante Pl,91436,Encino,SingleFamily,2018,901676.0,1975,32080,3391,4.0,5,2274651,Encino,neighborhood
4335 Coronet Dr,91316,Encino,SingleFamily,2018,523393.0,1961,17768,2473,2.5,3,1524104,Encino,neighborhood
13551 Erwin St,91401,Van Nuys,SingleFamily,2018,407919.0,1958,11180,1889,3.0,3,823370,Valley Glen,neighborhood
5511 Bevis Ave,91411,Sherman Oaks,SingleFamily,2018,686820.0,1951,5910,1474,2.0,2,843830,Sherman Oaks,neighborhood
14164 Pinney St,91331,Arleta,SingleFamily,2018,162337.0,1953,7947,1729,2.0,4,518905,Arleta,neighborhood
11337 Gladstone Ave,91342,Sylmar,SingleFamily,2018,482000.0,1960,7699,1380,2.0,4,458754,Lakeview Terrace,neighborhood
2242 Linnington Ave,90064,Los Angeles,SingleFamily,2018,1365659.0,1927,6751,1960,3.0,4,1732851,West Los Angeles,neighborhood
6233 Tipton Way,90042,Los Angeles,SingleFamily,2018,433497.0,1942,12440,872,1.0,2,888280,Eagle Rock,neighborhood
13300 Debell St,91331,Arleta,SingleFamily,2018,260468.0,NA,11460,NA,NA,NA,587144,Arleta,neighborhood
5428 Brynhurst Ave,90043,Los Angeles,SingleFamily,2018,375323.0,1921,304920000,1440,2.0,3,704965,Hyde Park,neighborhood
8349 Mammoth Ave,91402,Panorama City,SingleFamily,2018,303570.0,1949,5277,1648,1.0,3,563302,Panorama City,neighborhood
8350 Yucca Trl,90046,Los angeles,SingleFamily,2018,1225266.0,1949,12,1704,2.0,3,1809633,Hollywood Hills,neighborhood
9625 Yoakum Dr,90210,Beverly Hills,SingleFamily,2018,1468208.0,1979,14122,4057,4.0,4,3180537,Beverly Crest,neighborhood
4100 Don Luis Dr,90008,Los Angeles,SingleFamily,2018,489003.0,1986,8744,2911,3.0,4,1342481,Crenshaw,neighborhood
1815 N Serrano Ave APT 104,90027,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1.0,1,1085270,Hollywood,neighborhood
1413 N Normandie Ave,90027,Los Angeles,Duplex,2018,261388.0,1912,6352,1880,2.0,3,935040,Hollywood,neighborhood
3054 Dona Marta Dr,91604,Studio City,SingleFamily,2018,165006.0,1964,9301,2209,3.0,3,1831635,Studio City,neighborhood
1130 Kagawa St,90272,Pacific Palisades,SingleFamily,2018,1214653.0,1955,5943,3144,5.0,5,3846128,Pacific Palisades,neighborhood
4444 Fulton Ave,91423,Sherman Oaks,MultiFamily2To4,2018,1588650.0,1954,5998,4334,5.0,8,1850512,Sherman Oaks,neighborhood
6426 S San Pedro St,90003,Los Angeles,Quadruplex,2018,399851.0,1957,4011,2332,4.0,8,624273,Southeast Los Angeles,neighborhood
1689 W 23rd St,90007,Los Angeles,Quadruplex,2018,981238.0,1929,6477,4742,4.0,8,1018673,Adams-Normandie,neighborhood
6047 W 78th St,90045,Los Angeles,SingleFamily,2018,101349.0,1948,6835,1144,1.0,3,949934,Westchester,neighborhood
8122 Willoughby Ave,90046,Los Angeles,Triplex,2018,594442.0,1925,4454,3070,3.0,5,2094220,Mid City West,neighborhood
247 E 94th St,90003,Los Angeles,SingleFamily,2018,53438.0,NA,6770,3800,NA,NA,696360,Southeast Los Angeles,neighborhood
857 N Edgemont St,90029,Los Angeles,SingleFamily,2018,243321.0,1918,6264,1794,1.0,2,903351,Hollywood,neighborhood
6200 Tujunga Ave,91606,North Hollywood,SingleFamily,2018,389331.0,1941,6969,1002,1.0,3,595815,North Hollywood,neighborhood
15837 Mayall St,91343,North Hills,SingleFamily,2018,177752.0,1954,7889,2138,2.0,4,665420,North Hills,neighborhood
7707 Beck Ave,91605,North Hollywood,SingleFamily,2018,311769.0,1947,6534,1937,2.0,3,604221,Sun Valley,neighborhood
1653 3rd Ave,90019,Los Angeles,SingleFamily,2018,397056.0,1906,6969,2088,5.0,5,1020225,Arlington Heights,neighborhood
1507 Westmont Dr,90732,San Pedro,Townhouse,2018,565896.0,1983,545737,1815,3.0,4,632911,San Pedro,neighborhood
8367 Hatillo Ave,91306,Winnetka,SingleFamily,2018,313851.0,1949,8102,1348,2.0,3,561090,Winnetka,neighborhood
11738 Otsego St,91607,Valley Village,SingleFamily,2018,1172000.0,1939,8775,1957,2.5,3,1166805,Valley Village,neighborhood
16615 Covello St,91406,Van Nuys,SingleFamily,2018,56399.0,1951,6490,1212,1.0,2,562556,Lake Balboa,neighborhood
21908 Celes St,91364,Woodland Hills,SingleFamily,2018,269390.0,1948,6251,1212,2.0,3,684963,Woodland Hills,neighborhood
746 N Citrus Ave,90038,Los Angeles,SingleFamily,2018,380913.0,1921,6098,2402,3.0,3,1594768,Hollywood,neighborhood
12864 Greene Ave,90066,Los Angeles,SingleFamily,2018,397149.0,1947,9418,720,1.0,2,1086416,Del Rey,neighborhood
2910 4th Ave,90018,Los Angeles,Duplex,2018,107108.0,1914,5867,1742,2.0,3,787677,Jefferson Park,neighborhood
3925 W Point Pl,90065,Los Angeles,SingleFamily,2018,99065.0,1964,4809,1647,3.0,3,826210,Mount Washington,neighborhood
3712 S Muirfield Rd,90016,Los Angeles,SingleFamily,2018,633125.0,1945,5994,1772,2.0,3,1061520,West Adams,neighborhood
805 N Fresno St,90063,Los Angeles,Triplex,2018,202672.0,1907,5200,2032,3.0,5,593577,Boyle Heights,neighborhood
17415 Marlin Pl,91406,Van Nuys,SingleFamily,2018,418759.0,1956,6341,1662,2.0,3,748213,Lake Balboa,neighborhood
3106 S Bentley Ave,90034,Los Angeles,SingleFamily,2018,372521.0,1951,5500,1597,2.0,4,1390083,Palms,neighborhood
2505 Hancock St APT 106,90031,Los Angeles,MultiFamily2To4,NA,NA,1985,NA,500,1.0,1,724889,Lincoln Heights,neighborhood
5054 Novgorod St,90032,Los Angeles,SingleFamily,2018,495385.0,1914,4534,1360,3.0,3,649840,El Sereno,neighborhood
13379 Golden Valley Ln,91344,Granada Hills,SingleFamily,2018,735000.0,1979,7619,2505,3.0,4,786151,Granada Hills,neighborhood
7021 Park Manor Ave,91605,North Hollywood,SingleFamily,2018,190359.0,1954,6746,1562,2.0,4,652618,Valley Glen,neighborhood
6206 Hesperia Ave,91316,Encino,SingleFamily,2018,131973.0,1968,5681,1798,2.0,3,817674,Encino,neighborhood
815 Norway Ln,90049,Los Angeles,SingleFamily,2018,182889.0,1957,5866,2396,2.0,3,2341483,Brentwood,neighborhood
17110 Goya St,91344,Granada Hills,SingleFamily,2018,113930.0,1965,8228,2250,2.0,4,744984,Granada Hills,neighborhood
10316 Louise Ave,91344,Granada Hills,SingleFamily,2018,590000.0,1957,7451,1812,3.0,4,661821,Granada Hills,neighborhood
8852 Newcastle Ave,91325,Sherwood Forest,SingleFamily,2018,132029.0,1955,13776,1991,3.0,3,739689,Northridge,neighborhood
811 Micheltorena St,90026,Los Angeles,SingleFamily,2018,280651.0,1925,8062,400,1.0,0,1016614,Silver Lake,neighborhood
14245 Sayre St,91342,Sylmar,SingleFamily,2018,344005.0,1949,20541,1822,1.0,3,600747,Sylmar,neighborhood
1126 Tellem Dr,90272,Pacific Palisades,SingleFamily,2018,228143.0,1960,14830,2282,3.0,3,3010663,Pacific Palisades,neighborhood
3742 Jasmine Ave APT 204,90034,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,1100,2.0,2,1509469,Palms,neighborhood
9261 Elben Pl,91352,Sun Valley,SingleFamily,2018,633757.0,1963,19867,1705,2.0,3,853625,La Tuna Canyon,neighborhood
17929 Califa St,91316,Encino,SingleFamily,2018,163664.0,1949,5501,984,1.0,3,609718,Encino,neighborhood
1121 Broad Ave,90744,Wilmington,Quadruplex,2018,624538.0,2009,10000,3680,4.0,8,880714,Wilmington,neighborhood
172 W Colden Ave,90003,Los Angeles,Duplex,2018,712375.0,1924,5199,1585,2.0,4,486669,Southeast Los Angeles,neighborhood
22450 Burton St,91304,Canoga Park,SingleFamily,2018,202449.0,1959,7903,1431,2.0,3,601595,West Hills,neighborhood
1701 Westerly Ter,90026,Los Angeles,SingleFamily,2018,690998.0,1937,4928,1349,1.0,2,1323107,Silver Lake,neighborhood
744 N Alfred St # 104,90069,Los Angeles,Condominium,2018,1171602.0,2005,6477,1720,3.0,3,1268845,Mid City West,neighborhood
7229 La Salle Ave,90047,Los Angeles,SingleFamily,2018,45624.0,1926,5200,1394,1.0,3,530581,South Los Angeles,neighborhood
203 N Cabrillo Ave,90731,San Pedro,SingleFamily,2018,215257.0,1918,1742,930,1.0,2,470450,San Pedro,neighborhood
2253 Riverdale Ave,90031,Los Angeles,SingleFamily,2018,172557.0,NA,NA,NA,NA,NA,728435,Elysian Valley,neighborhood
10430 Balboa Blvd,91344,Granada Hills,SingleFamily,2018,404222.0,1956,7887,1602,2.0,2,650837,Granada Hills,neighborhood
15236 Hartsook St,91403,Sherman Oaks,SingleFamily,2018,969000.0,1942,6750,2344,2.0,4,1072756,Sherman Oaks,neighborhood
227 E 84th Pl,90003,Los Angeles,SingleFamily,2018,261088.0,1923,5200,1041,1.0,2,850688,Southeast Los Angeles,neighborhood
7720 Wynne Ave,91335,Reseda,SingleFamily,2018,73889.0,1950,5775,1045,1.0,2,451924,Reseda,neighborhood
105 Mirabeau Ave,90732,San Pedro,SingleFamily,2018,686570.0,1955,6263,1995,3.0,4,894511,San Pedro,neighborhood
12319 Willow Way,91331,Pacoima,Condominium,2018,194657.0,1987,172012,1901,3.0,3,454340,Pacoima,neighborhood
13170 Vista View Cir,91342,Sylmar,SingleFamily,2018,434383.0,2012,6144,1928,3.0,4,595867,Sylmar,neighborhood
1101 Hi Point St,90035,Los Angeles,SingleFamily,2018,71051.0,1927,5227,1611,1.5,2,1457195,South Carthay,neighborhood
2308 Santa Fe Ave,90501,Torrance,SingleFamily,2018,585556.0,1977,9295,2319,3.0,4,960321,Olde Torrance,neighborhood
2256 Branden St,90026,Los Angeles,Duplex,2018,160353.0,NA,7503,1488,2.0,2,1274229,Silver Lake,neighborhood
2650 W Temple St,90026,Los Angeles,Unknown,NA,NA,NA,NA,NA,NA,NA,838972,Westlake,neighborhood
7858 Irvine Ave,91605,North Hollywood,SingleFamily,2018,767000.0,2006,5807,2438,3.0,4,735460,Sun Valley,neighborhood
627 San Lorenzo St,90402,Santa Monica,SingleFamily,2018,5056402.0,1937,6020,4228,5.0,5,5669764,Pacific Palisades,neighborhood
3820 S Redondo Blvd,90008,Los Angeles,SingleFamily,2018,153084.0,1947,8056,2608,2.0,4,1127513,Crenshaw,neighborhood
2420 W Jefferson Blvd,90018,Los Angeles,SingleFamily,2018,390288.0,1911,5209,1404,1.0,3,696699,Jefferson Park,neighborhood
1413 W 53rd St,90062,Los Angeles,Duplex,2018,115454.0,1921,5814,1974,2.0,4,507377,South Los Angeles,neighborhood
2815 El Roble Dr,90041,Los Angeles,SingleFamily,2018,546537.0,1951,6583,1041,1.0,2,815550,Eagle Rock,neighborhood
9639 Langdon Ave,91343,North Hills,SingleFamily,2018,503245.0,1948,22956,1641,2.0,3,685409,North Hills,neighborhood
1567 E 22nd St,90011,Los Angeles,SingleFamily,2018,87502.0,1907,5681,956,1.0,3,362085,Central City,neighborhood
4700 Catalpa St,90032,Los Angeles,Duplex,2018,184883.0,1930,3642,2066,3.0,4,637298,El Sereno,neighborhood
1627 Silverwood Ter,90026,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,2.0,2,1152431,Silver Lake,neighborhood
9685 Wheatland Ave,91040,Sunland,SingleFamily,2018,118244.0,1946,87430,2450,3.0,6,1257717,Shadow Hills,neighborhood
14420 Clymer St,91345,Mission Hills,SingleFamily,2018,292117.0,1955,7761,1358,2.0,3,556041,Mission Hills,neighborhood
2821 Cincinnati St,90033,Los Angeles,Quadruplex,2018,370718.0,1929,5898,5180,8.0,8,1084056,Boyle Heights,neighborhood
11569 Huston St,91601,North Hollywood,SingleFamily,2018,489964.0,NA,NA,NA,NA,5,1523735,Valley Village,neighborhood
1856 W 24th St,90018,Los Angeles,MultiFamily2To4,2018,447078.0,1914,6652,4350,NA,0,1027217,Adams-Normandie,neighborhood
11306 Laurel Canyon Blvd,91340,San Fernando,SingleFamily,2018,121477.0,1932,22996,2757,2.0,4,724292,Mission Hills,neighborhood
636 Solano Ave,90012,Los Angeles,Duplex,2018,598703.0,1903,5316,4383,7.0,7,1200981,Elysian Park,neighborhood
22835 Valerio St,91307,West Hills,SingleFamily,2018,161184.0,NA,9788,NA,2.0,NA,678294,West Hills,neighborhood
15227 Del Gado Dr,91403,Sherman Oaks,SingleFamily,2018,2533461.0,1928,13177,4053,5.0,4,2529029,Sherman Oaks,neighborhood
7549 Gaynor Ave,91406,Van Nuys,SingleFamily,2018,149878.0,1948,8099,1126,1.0,3,552191,Lake Balboa,neighborhood
5333 Thornburn St,90045,Los Angeles,SingleFamily,2018,80537.0,1949,5996,1829,2.0,5,997960,Westchester,neighborhood
1335 E Washington Blvd,90021,Los Angeles,Triplex,2018,148735.0,NA,6001,2168,3.0,7,624832,Central City,neighborhood
13477 Bradley Ave,91342,Sylmar,SingleFamily,2018,357843.0,1956,11071,1162,2.0,2,543290,Sylmar,neighborhood
9022 W 24th St,90034,Los Angeles,SingleFamily,2018,1092420.0,1938,4861,1259,1.5,3,1512332,Beverlywood,neighborhood
3877 Franklin Ave,90027,Los Angeles,SingleFamily,2018,509283.0,1932,4689,2026,3.0,4,1518166,Los Feliz,neighborhood
3314 Greenfield Ave,90034,Los Angeles,SingleFamily,2018,855751.0,1939,8124,1354,3.0,4,2146953,Palms,neighborhood
19451 Mayall St,91324,Northridge,SingleFamily,2018,568507.0,1959,13939,3482,4.0,6,1057720,Northridge,neighborhood
7357 Bonnie Pl,91335,Reseda,Condominium,2018,354482.0,1989,2500,1593,3.0,3,449803,Reseda,neighborhood
636 Baylor St,90272,Pacific Palisades,SingleFamily,2018,1655914.0,1948,5706,1750,2.0,3,2388558,Pacific Palisades,neighborhood
15646 High Knoll Rd,91436,Encino,SingleFamily,2018,1463452.0,1961,34524,4360,4.0,4,3109229,Encino,neighborhood
8852 S Central Ave,90002,Los Angeles,SingleFamily,NA,NA,2007,6000,13000,NA,NA,925279,Southeast Los Angeles,neighborhood
1327 5th Ave,90019,Los Angeles,Quadruplex,2018,236765.0,1918,7501,4816,4.0,8,1450098,Arlington Heights,neighborhood
5004 Lincoln Ave,90042,Los Angeles,SingleFamily,2018,277386.0,1921,5394,1304,2.0,2,886037,Highland Park,neighborhood
17215 Ceredo Pl,91344,Granada Hills,SingleFamily,2018,407443.0,1961,10994,1040,2.0,3,688975,Granada Hills,neighborhood
4936 Templeton St,90032,Los Angeles,Triplex,2018,64582.0,1922,7152,2350,3.0,6,728503,El Sereno,neighborhood
13694 Mindora Ave,91342,Sylmar,SingleFamily,2018,279131.0,1959,7500,1316,2.0,3,515517,Sylmar,neighborhood
5130 4th Ave,90043,Los Angeles,SingleFamily,2018,153145.0,1921,5387,786,1.0,2,484818,Hyde Park,neighborhood
2247 Moore St,90039,Los Angeles,SingleFamily,2018,622466.0,1942,6969,1768,1.0,2,1250991,Silver Lake,neighborhood
537 W 90th St,90044,Los Angeles,MultiFamily2To4,2018,443117.0,1924,6812,1569,3.0,4,488723,South Los Angeles,neighborhood
4212 Camero Ave,90027,Los Angeles,SingleFamily,2018,757577.0,1912,1500,1200,2.0,3,970611,Los Feliz,neighborhood
3610 Harriman Ave,90032,Los Angeles,SingleFamily,2018,280362.0,1923,7754,784,2.0,2,580768,El Sereno,neighborhood
14322 Sayre St,91342,Sylmar,SingleFamily,2018,581896.0,1957,8712,2081,4.0,4,588810,Sylmar,neighborhood
12524 Pinney St,91331,Pacoima,SingleFamily,2018,310838.0,1960,7720,1706,3.0,5,559918,Pacoima,neighborhood
5720 Graves Ave,91316,Encino,SingleFamily,2018,299170.0,1955,5999,1470,2.0,4,813335,Encino,neighborhood
861 W 17th St,90731,San Pedro,SingleFamily,NA,NA,NA,NA,900,1.0,2,649631,San Pedro,neighborhood
1835 Lansdowne Ave,90032,Los Angeles,SingleFamily,2018,31617.0,1939,4041,926,1.0,2,548185,University Hills,neighborhood
15012 Mayall St,91345,Mission Hills,SingleFamily,2018,340804.0,1968,7141,1900,2.0,4,587976,Mission Hills,neighborhood
3526 Lifur Ave,90032,Los Angeles,SingleFamily,2018,48198.0,1926,9014,1256,1.0,3,654420,El Sereno,neighborhood
12819 Louise Ave,90066,Los Angeles,SingleFamily,2018,822515.0,1987,16988,2669,3.0,3,909695,Granada Hills,neighborhood
16841 Lassen St,91343,North Hills,SingleFamily,2018,132282.0,1956,7200,1647,2.0,4,633638,North Hills,neighborhood
1627 S Fairfax Ave,90019,Los Angeles,Duplex,2018,248741.0,1931,6374,3554,3.0,5,1571187,Pico-Robertson,neighborhood
6217 Tipton Way,90042,Los Angeles,SingleFamily,2018,200871.0,1979,7959,1536,2.0,3,957598,Eagle Rock,neighborhood
